,NAO,Nino34,AO
678,0.9024399999999999,27.3,0.1027
679,-1.7264,27.16,-0.26525
680,-1.6219,27.32,0.60649
681,-2.2439,27.41,-1.0291
682,0.43681000000000003,27.69,0.52131
683,1.3366,27.74,2.2817
684,0.22265,27.24,2.0338
685,-0.47003999999999996,26.88,-1.3069
686,1.4425,27.1,1.1821
687,0.16942000000000002,27.5,0.54427
688,0.66381,27.46,0.8936700000000001
689,-1.3064,27.37,-0.55496
690,-0.5794199999999999,26.71,-0.39652
691,-0.139,26.14,-0.033738
692,0.72127,25.61,0.17892
693,0.44653000000000004,25.32,0.38348000000000004
694,0.5755899999999999,25.17,-0.51866
695,0.34358,25.01,0.8211299999999999
696,0.8901100000000001,24.86,0.81896
697,0.73461,25.08,0.9380700000000001
698,0.076088,26.07,0.5855899999999999
699,-1.0655,26.83,-0.45501
700,-1.728,27.09,-1.2047
701,-1.3895,27.04,-0.08978
702,-1.2741,26.99,-0.47991999999999996
703,-1.1602,26.72,-0.08048200000000001
704,1.0169,26.47,-0.32656999999999997
705,-0.043356,26.37,1.6758
706,-0.31995,26.25,0.092205
707,-0.27655,25.74,0.64778
708,-0.007481600000000001,25.66,0.79975
709,0.056526,25.96,-0.6723
710,0.5723,26.59,0.12134
711,-0.20439000000000002,27.47,0.9725299999999999
712,1.6827,27.99,1.1937
713,-1.2074,28.04,-1.3507
714,-2.1529,27.78,-1.3559
715,-0.19385,27.42,-0.053666
716,1.5089,27.4,0.87451
717,-1.0322,27.6,-1.5399
718,-0.024814,28.16,0.45885
719,-1.9257,28.34,-3.4128
720,-1.1086,28.07,-2.5868
721,-1.9845,28.01,-4.2657
722,-0.8831200000000001,28.18,-0.43208
723,-0.71995,28.2,-0.2745
724,-1.487,27.71,-0.91864
725,-0.81597,27.04,-0.013004
726,-0.42496000000000006,26.22,0.43527
727,-1.2227,25.47,-0.1166
728,-0.79482,25.12,-0.86464
729,-0.9283,25.03,-0.46697
730,-1.6158,25.06,-0.37575
731,-1.8472,25.0,-2.631
732,-0.87685,25.0,-1.6831
733,0.70124,25.64,1.5754
734,0.6129,26.36,1.4241
735,2.4775,27.05,2.2748
736,-0.062273,27.41,-0.035093
737,-1.2795,27.35,-0.85775
738,-1.5122,26.87,-0.47162
739,-1.3475,26.21,-1.0626
740,0.53603,25.92,0.66474
741,0.39353,25.67,0.79975
742,1.3602,25.52,1.4592
743,2.5213,25.54,2.2208
744,1.1739,25.67,-0.21966
745,0.4201,26.08,-0.036335
746,1.2655,26.67,1.0371
747,0.47098,27.32,-0.034571
748,-0.9068299999999999,27.61,0.16841
749,-2.5309,27.75,-0.6724100000000001
750,-1.3215,27.54,0.16779000000000002
751,-0.98321,27.32,0.013999000000000001
752,-0.58608,27.1,0.77225
753,-2.062,26.98,-1.514
754,-0.5782,26.86,-0.11057
755,0.17064000000000001,26.34,-1.7486
756,0.3453,26.01,-0.60952
757,-0.45306,26.24,-1.0074
758,-1.6119,27.03,-3.1854
759,0.687,27.57,0.32221
760,0.56906,27.53,0.49401000000000006
761,0.52076,27.3,0.54865
762,0.6721600000000001,26.91,-0.011112
763,0.97019,26.47,0.15425
764,0.2406,26.54,-0.46088
765,-1.2801,26.52,0.26276
766,0.9008200000000001,26.56,2.029
767,0.9456600000000001,26.43,1.4749
768,0.29026,26.05,-0.9687600000000001
769,1.3352,26.14,0.043775
770,0.79827,27.0,1.2058
771,0.30522,27.9,0.9719700000000001
772,-0.9225,28.25,0.46421
773,-0.97006,27.96,-0.50745
774,0.17539000000000002,27.23,-0.48894
775,-1.6815,26.82,-0.37154
776,1.6163,27.01,0.10191
777,-1.2706,27.16,-1.1344
778,0.67797,27.46,-0.5303
779,1.8575,27.31,0.41292
780,1.7887,27.05,1.0916
781,1.3228,27.17,1.0426
782,1.4497,27.75,1.8374
783,0.72535,28.52,1.2157
784,0.14552,28.85,0.76276
785,-0.066822,28.9,0.42704
786,-3.179,28.75,-1.1079
787,-0.76036,28.79,-0.68902
788,-0.64846,28.93,-0.16451
789,0.43723,29.08,-0.25006
790,1.7438,29.42,1.945
791,2.2436,29.26,1.4441
792,0.11652,29.11,-1.4487
793,1.5803,29.01,-0.023521
794,0.7344,28.9,0.28024
795,0.37514000000000003,28.72,-1.0511
796,-0.77358,28.23,-0.035739
797,-0.43251000000000006,27.69,0.31288
798,-1.7603,26.82,0.084758
799,-1.6453,26.28,0.47238
800,0.6109600000000001,26.14,0.7809699999999999
801,0.41125,25.98,-1.9173
802,-0.16366,25.94,-0.6109100000000001
803,0.47833000000000003,26.1,1.7864
804,0.47823999999999994,26.12,0.9419700000000001
805,1.0048,26.67,0.33986
806,0.73702,27.32,1.3654
807,1.7325,28.03,-0.088658
808,-1.911,28.3,-0.73014
809,0.045036,28.06,0.40166
810,1.2556,27.54,0.6342300000000001
811,-1.0977,26.7,0.15004
812,-0.61273,26.29,-0.49245
813,0.18594000000000002,26.15,0.69034
814,-0.0048984,25.74,-0.077573
815,0.8815799999999999,25.62,-0.058977999999999996
816,1.4423,25.57,-0.28084000000000003
817,1.5778,25.97,0.11273
818,-0.9269,26.48,-0.9411200000000001
819,1.2411,27.31,0.54391
820,2.1208,27.73,1.1796
821,1.088,27.77,0.37988
822,1.3893,27.42,0.61175
823,1.967,26.94,0.8360700000000001
824,1.6736,27.19,0.5845100000000001
825,0.93453,27.62,0.41276999999999997
826,-0.11126,27.61,-1.1162
827,0.61156,27.49,0.10973
828,0.59202,27.19,-0.7132
829,0.29141,27.46,1.1495
830,1.2321,28.09,2.1161
831,0.466,28.44,-0.25531
832,-2.623,28.48,-1.2313
833,-1.0886,28.18,-0.60129
834,-1.4255,27.64,-0.88969
835,-1.1684,26.9,-0.72177
836,-0.16408,26.75,0.3062
837,-1.4134,27.2,-0.082195
838,0.27847,27.22,-1.1934
839,1.2016,27.12,0.41207
